c1                                                                                op21                                                                              c2                                                                                op23                                                                              c3                                                                                count
http://erlangen-crm.org/current/E40_Legal_Body                                    http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     16012
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E35_Title                                         16012
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     16012
http://erlangen-crm.org/current/E35_Title                                         http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     16012
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    16012
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E40_Legal_Body                                    16012
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E8_Acquisition                                    15999
http://erlangen-crm.org/current/E8_Acquisition                                    http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     15999
http://erlangen-crm.org/current/E55_Type                                          http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P2_has_type                                       http://erlangen-crm.org/current/E55_Type                                          15834
http://erlangen-crm.org/current/E54_Dimension                                     http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P43_has_dimension                                 http://erlangen-crm.org/current/E54_Dimension                                     15078
http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    12923
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E82_Actor_Appellation                             12923
http://erlangen-crm.org/current/E67_Birth                                         http://erlangen-crm.org/current/P98i_was_born                                     http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E82_Actor_Appellation                             12623
http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P98i_was_born                                     http://erlangen-crm.org/current/E67_Birth                                         12623
http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P107i_is_current_or_former_member_of              http://erlangen-crm.org/current/E74_Group                                         12582
http://erlangen-crm.org/current/E74_Group                                         http://erlangen-crm.org/current/P107i_is_current_or_former_member_of              http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E82_Actor_Appellation                             12582
http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P100i_died_in                                     http://erlangen-crm.org/current/E69_Death                                         12577
http://erlangen-crm.org/current/E69_Death                                         http://erlangen-crm.org/current/P100i_died_in                                     http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E82_Actor_Appellation                             12577
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E12_Production                                    12211
http://erlangen-crm.org/current/E35_Title                                         http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E12_Production                                    12211
http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    12211
http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E35_Title                                         12211
http://erlangen-crm.org/current/E40_Legal_Body                                    http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E12_Production                                    12211
http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E40_Legal_Body                                    12211
http://erlangen-crm.org/current/E8_Acquisition                                    http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E12_Production                                    12060
http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P108i_was_produced_by                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E8_Acquisition                                    12060
http://erlangen-crm.org/current/E82_Actor_Appellation                             http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E21_Person                                        http://erlangen-crm.org/current/P131_is_identified_by                             http://erlangen-crm.org/current/E82_Actor_Appellation                             11956
http://erlangen-crm.org/current/E35_Title                                         http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    10000
http://erlangen-crm.org/current/E35_Title                                         http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E40_Legal_Body                                    10000
http://erlangen-crm.org/current/E52_Time-Span                                     http://erlangen-crm.org/current/P4_has_time-span                                  http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P33_used_specific_technique                       http://erlangen-crm.org/current/E29_Design_or_Procedure                           10000
http://erlangen-crm.org/current/E40_Legal_Body                                    http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    10000
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E35_Title                                         10000
http://erlangen-crm.org/current/E40_Legal_Body                                    http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E35_Title                                         10000
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E40_Legal_Body                                    10000
http://erlangen-crm.org/current/E29_Design_or_Procedure                           http://erlangen-crm.org/current/P33_used_specific_technique                       http://erlangen-crm.org/current/E12_Production                                    http://erlangen-crm.org/current/P4_has_time-span                                  http://erlangen-crm.org/current/E52_Time-Span                                     10000
http://erlangen-crm.org/current/E35_Title                                         http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E53_Place                                         9907
http://erlangen-crm.org/current/E53_Place                                         http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    9907
http://erlangen-crm.org/current/E40_Legal_Body                                    http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E53_Place                                         9907
http://erlangen-crm.org/current/E53_Place                                         http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E35_Title                                         9907
http://erlangen-crm.org/current/E53_Place                                         http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E40_Legal_Body                                    9907
http://erlangen-crm.org/current/E42_Identifier                                    http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P55_has_current_location                          http://erlangen-crm.org/current/E53_Place                                         9907
http://erlangen-crm.org/current/E35_Title                                         http://erlangen-crm.org/current/P102_has_title                                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E8_Acquisition                                    9879
http://erlangen-crm.org/current/E40_Legal_Body                                    http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E8_Acquisition                                    9879
http://erlangen-crm.org/current/E8_Acquisition                                    http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P48_has_preferred_identifier                      http://erlangen-crm.org/current/E42_Identifier                                    9879
http://erlangen-crm.org/current/E8_Acquisition                                    http://erlangen-crm.org/current/P24i_changed_ownership_through                    http://erlangen-crm.org/current/E22_Man-Made_Object                               http://erlangen-crm.org/current/P52_has_current_owner                             http://erlangen-crm.org/current/E40_Legal_Body                                    9879
